Category,Question,Answer,Priority
การใช้งาน,เช็คอินทำไงยังไง?,"วิธีเช็คอิน: 1. เปิด LINE LIFF App 2. ไปที่แท็บ 'กิจกรรม' 3. เลือกกิจกรรมที่ต้องการ 4. ตรวจสอบวันเวลาและสถานที่ 5. กด 'เช็คอิน' 6. อนุญาต GPS ถ้าระบบต้องการ 7. หรือ Scan QR Code",High
การใช้งาน,Scan QR Code ทำไง?,"วิธี Scan QR Code: 1. ไปที่แท็บ 'กิจกรรม' 2. คลิกปุ่มกล้อง 📷 3. อนุญาตกล้อง 4. นำ QR Code มาให้อยู่ในกรอบ 5. รอสแกนอัตโนะมิก",High
การใช้งาน,รู้ว่าได้แต้มไหม?,"1. ไปที่แท็บ 'โปรไฟล์ เพิ่มเติม' ดูแต้มปัจจุบัน 2. หรือไปที่แท็บ 'ประวัติแต้ม' เพื่อดูประวัติการได้-ใช้แต้ม",Medium
การใช้งาน,แลกแต้มยังไง?,"วิธีแลกแต้ม: 1. รวบแต้มให้ครบ 50 แต้มขึ้นไป 2. รอให้ Admin สร้าง QR Code สำหรับแลกแต้ม 3. ไปที่แท็บ 'แลกแต้ม' 4. Scan QR Code ที่ Admin สร้าง 5. แต้มจะถูกหักออกตามจำนวน QR Code",High
การใช้งาน,เล่นเกมยังไง?,"วิธีเล่นเกมหาแต้ม: 1. ไปที่แท็บ 'เกม' 2. เลือกเกมที่ต้องการ (Spin Wheel, Quiz, Memory) 3. ทำตามกติกาของเกม 4. หากชนะจะได้รับแต้ม 5. สามารถเล่นได้สูงสุด 10 ครั้ง/วัน",High
การใช้งาน,ดู leaderboard ยังไง?,"วิธีดู Leaderboard: 1. ไปที่แท็บ 'Leaderboard' 2. เลือกดู 'แต้มสะสม' หรือ 'ตรงเวลา' 3. ดูอันดับของคุณและคนอื่นๆ",Medium
ปัญหา,GPS ไม่ทำงานทำไง?,"หาก GPS ไม่ทำงาน: 1. ตรวจสอบว่าเปิด Location Service แล้ว 2. ตรวจสอบว่าอนุญาตให้ LIFF เข้าถึงตำแหน่ง 3. ปิดแอปและเปิดใหม่ 4. ลองเชื่อมต่ออินเทอร์เน็ต 5. ติดต่อ Admin หากยังไม่ได้",High
ปัญหา,ไม่เจอกิจกรรม,,"หากไม่เจอกิจกรรม: 1. ตรวจสอบว่าอยู่ใน Group ที่ถูกเชิญ 2. ติดต่อ Admin เพื่อให้เพิ่มกิจกรรม 3. ตรวจสอบ Status ของกิจกรรมว่าเป็น Active",High
ปัญหา,เช็คอินไม่สำเร็จ,,"หากเช็คอินไม่สำเร็จ: 1. ตรวจสอบว่าอยู่ในรัศมีที่กำหนด 2. ตรวจสอบว่าเช็คอินซ้ำในกิจกรรมเดียวกันแล้วหรือยัง 3. ตรวจสอบว่า QR Code ถูกต้อง 4. ลองใหม่ภายหลัง 5-10 นาที 5. ติดต่อ Admin หากยังไม่ได้",High
ปัญหา,แต้มไม่เข้า,,"หากได้แต้มแล้วแต้มไม่เข้า: 1. รอสักครู่ (5-10 วินาที) แล้วกด Refresh 2. ตรวจสอบว่าเช็คอินสำเร็จจริง 3. ติดต่อ Admin พร้อมแจ้งรายละเอียด (วัน เวลา กิจกรรม)",Medium
ปัญหา,ลืมรหัสพนักงานทำไง?,"หากลืมรหัสพนักงาน: 1. ติดต่อ Admin 2. แจ้ง DisplayName และ Group 3. Admin จะตรวจสอบและแจ้งรหัสให้",Medium
ระบบ,ต้องเช็คอินทุกวันไหม?,"ขึ้นอยู่กับบริษัทและกฎของแต่ละบาง: 1. บางบริษัทต้องเช็คอินทุกวัน (รัฐบาล) 2. บางบริษัทต้องเช็คอินเฉพาะวันที่มีกิจกรรม 3. ตรวจสอบกับ Admin หรือดูกิจกรรมในแอป",High
ระบบ,เช็คอินสายโดนหักแต้มไหม?,"ไม่ เช็คอินสายจะได้ 0 แต้ม แต่ก็ยังถือว่าเข้าร่วมกิจกรรมและมีสิทธิ์ต่อเวลาปกติ",Medium
ระบบ,สามารถเช็คอินแทนคนได้ไหม?,"ไม่ได้ ระบบระบุตัวตนด้วย LINE User ID หนึ่ง 1 คนต่อ 1 เช็คอิน",Low
ระบบ,ข้อมูลถูกใช้ไปทำอะไร?,"ข้อมูลถูกใช้สำหรับ: 1. วิเคราะหาการเข้าร่วมกิจกรรม 2. คำนวณแต้มสะสม 3. สร้างรายงานการมาสาย 4. ปรับปรุงระบบ ข้อมูลถูกเก็บรักษาอย่างปลอดภัยและไม่เปิดเผยแก่ผู้ที่ได้รับอนุญาต",Medium
เทคนิค,ระบบใช้ internet ไหม?,"ใช่ ระบบต้องใช้ internet เพื่อ: 1. เชื่อมต่อ Google Sheets 2. เช็คอิน GPS 3. Scan QR Code หากไม่มี internet ระบบจะคงข้อมูลไว้ก่อนและ sync เมื่อมี internet",High
เทคนิค,ใช้ได้บนอุปกรณ์อะไร,"รองรับ: 1. สมาร์ทโฟน Android หรือ iOS 2. LINE App เวอร์ชันล่าสุด 3. เชื่อมต่ออินเทอร์เน็ต (WiFi หรือ 4G/5G)",Medium
กิจกรรม,กิจกรรมคืออะไร?,"กิจกรรม คือ: 1. ประชุมประจำเดือน 2. อบรม/วิปัย 3. กิจกรรมบันทึก 4. กิจกรรมพิเศษ 5. สามารถเช็คอินเพื่อระบุการเข้าร่วม",High
กิจกรรม,ดูกิจกรรมล่วงหน้าได้ไหม,"ได้ ในหน้าแรกกิจกรรมจะแสดงกิจกรรมทั้งหมดของวันนี้ หรือ 7 วันล่วงหน้า",Medium
ความปลอดภัย,ข้อมูลปลอดภัยไหม,"ใช่ ข้อมูลมีความปลอดภัยสูง: 1. เก็บบน Google Sheets ที่มี security 2. ใช้ LINE Authentication 3. เข้ารหัสด้วย HTTPS 4. เปิดเผยข้อมูลเฉพาะผู้ที่ได้รับอนุญาต",High
