Rule_Type,Description,Points,Max_Daily,Conditions
checkin_on_time,เช็คอินตรงเวลา,+10,3,"เช็คอินภายในช่วงเวลาที่กำหนด ±5 นาที (เช่น 08:00-08:05 สำหรับกิจกรรม 08:00)"
checkin_late,เช็คอินสาย,0,9999,"เช็คอินหลังเวลาที่กำหนด ไม่ได้รับแต้ม"
play_spin_wheel,ชนะเกม Spin Wheel,+5,10,"ทำการ Spin Wheel ได้รับแต้ม 1 ครั้งต่อการเล่น สูงสุด 10 ครั้ง/วัน"
play_quiz,ชนะเกม Quiz,+5,10,"ตอบคำถาม Quiz ถูกได้รับแต้ม 1 ครั้งต่อการเล่น สูงสุด 10 ครั้ง/วัน"
play_memory,ชนะเกม Memory,+5,10,"จับคู่ Memory Game ถูกได้รับแต้ม 1 ครั้งต่อการเล่น สูงสุด 10 ครั้ง/วัน"
redeem_qr_50,Scan QR แลก 50 แต้ม,-50,9999,"สแกน QR Code ที่ admin สร้างเพื่อแลก 50 แต้ม ต้องมีแต้มพอ"
redeem_qr_100,Scan QR แลก 100 แต้ม,-100,9999,"สแกน QR Code ที่ admin สร้างเพื่อแลก 100 แต้ม ต้องมีแต้มพอ"
redeem_qr_200,Scan QR แลก 200 แต้ม,-200,9999,"สแกน QR Code ที่ admin สร้างเพื่อแลก 200 แต้ม ต้องมีแต้มพอ"
admin_bonus,แอดมินให้แต้มโบนัส,Variable,9999,"แอดมินสามารถให้แต้มโบนัสพนักงานได้ ไม่จำกัดจำนวน (ต้องมีสิทธิ admin)"
referral,ชวนเพื่อนมาใช้งาน,+50,9999,"เมื่อเพื่อนลงทะเบียนและระบุว่ามาจากการชวนของคุณ จะได้รับ 50 แต้ม (ครั้งเดียวต่อคน)"
perfect_week,สมบูรณ์ทุกวันในสัปดาห์,+100,1,"เช็คอินตรงเวลาทุกวันใน 1 สัปดาห์ (จันทร์-ศุกร์) ได้รับโบนัส 100 แต้ม"
monthly_top_10,อยู่ Top 10 ประจำเดือน,+50,1,"อยู่ในอันดับบ์ 1-10 ของ leaderboard แต้มสะสมรายเดือน ได้รับโบนัส 50 แต้ม"
quiz_master,ตอบถูกครบ 10 ข้อ,+20,1,"ตอบคำถาม Quiz ถูกครบทั้ง 10 ข้อใน 1 ครั้ง ได้รับโบนัสพิเศษ 20 แต้ม"
memory_master,จับคู่ถูกครบ,+20,1,"จับคู่ Memory Game ถูกครบทั้งหมดใน 1 ครั้ง ได้รับโบนัสพิเศษ 20 แต้ม"
streak_3,เช็คอินต่อเนื่อง 3 วัน,+30,1,"เช็คอินตรงเวลาต่อเนื่อง 3 วัน ได้รับโบนัส 30 แต้ม"
streak_7,เช็คอินต่อเนื่อง 7 วัน,+100,1,"เช็คอินตรงเวลาต่อเนื่อง 7 วัน ได้รับโบนัสพิเศษ 100 แต้ม"
early_bird,เช็คอินก่อนเวลา,+5,3,"เช็คอินก่อนเวลาที่กำหนด 15 นาที ได้รับแต้มพิเศษ 5 แต้ม (เช่น 07:45 สำหรับกิจกรรม 08:00)"
super_early_bird,เช็คอินก่อนเวลา 30 นาที,+10,3,"เช็คอินก่อนเวลาที่กำหนด 30 นาที ได้รับแต้มพิเศษ 10 แต้ม (เช่น 07:30 สำหรับกิจกรรม 08:00)"
perfect_month,สมบูรณ์ทั้งเดือน,+200,1,"เช็คอินตรงเวลาทุกวันตลอดทั้งเดือน ได้รับโบนัสพิเศษ 200 แต้ม"
activity_creator,สร้างกิจกรรม,+20,9999,"แอดมินสร้างกิจกรรมใหม่ได้รับ 20 แต้ม (ต้องมีสิทธิ admin)"
activity_participant,เข้าร่วมกิจกรรม,+5,9999,"เข้าร่วมกิจกรรมที่แอดมินสร้างได้รับ 5 แต้ม (เช็คอินเข้าร่วม)"
feedback_complete,ตอบแบพอใจ,+10,5,"ตอบแบประเมินความพึงพอใจหลังกิจกรรม ได้รับ 10 แต้ม สูงสุด 5 แบบ/วัน"
help_colleague,ช่วยเหลือเพื่อนร่วม,+5,10,"ช่วยเหลือเพื่อนร่วมงาน หรือตอบคำถามให้เพื่อน (ได้รับการยืนยันจากผู้ถูกช่วย) ได้รับ 5 แต้ม สูงสุด 10 ครั้ง/วัน"
first_checkin,เช็คอินครั้งแรก,+20,1,"เช็คอินครั้งแรกของระบบได้รับ 20 แต้ม (ครั้งเดียว)"
profile_complete,กรอกข้อมูลครบ,+10,1,"กรอกข้อมูลโปรไฟล์ครบ (ชื่อ นามสกุล ตำแหน่ง กลุ่ม) ได้รับ 10 แต้ม"
profile_picture,อัปโหลดรูปโปรไฟล์,+5,1,"อัปโหลดรูปโปรไฟล์จาก LINE ได้รับ 5 แต้ม"
birthday_gift,ของขวัญวันเกิด,+100,1,"ในวันเกิดได้รับของขวัญ 100 แต้ม (ต้องระบุวันเกิดในโปรไฟล์)"
year_anniversary,ครบรอบ 1 ปี,+50,1,"ครบรอบ 1 ปีการใช้งานกับระบบได้รับ 50 แต้ม"
seasonal_event,กิจกรรมพิเศษ,Variable,9999,"เข้าร่วมกิจกรรมพิเศษ เทญกาล หรือกิจกรรมที่ admin จัดขึ้นพิเศษ ได้รับแต้มตามที่กำหนด"
